"id","race","age","engnat","gender","hand","source","country","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10","AgreeablenessSum","OpennessSum","ExtraversionSum","ConscSum","NeuroSum","continent"
1,13,26,2,1,1,2,"ZA",1,3,2,4,2,3,1,4,2,5,4,3,5,4,3,4,3,3,4,4,2,3,2,3,4,4,2,1,3,2,3,5,3,3,1,5,3,4,1,2,5,3,5,2,5,1,3,4,5,5,26,38,27,30,37,"Africa"
2,13,21,2,2,1,1,"KE",3,3,4,4,4,3,5,4,2,5,3,3,5,3,3,3,2,2,3,3,1,4,1,5,1,5,1,4,4,3,4,3,4,1,4,3,4,3,3,3,2,2,4,1,5,1,3,1,5,5,29,29,37,32,30,"Africa"
3,13,19,2,1,1,1,"ZA",1,5,1,5,1,1,1,5,2,5,1,5,4,5,2,1,1,1,2,1,5,2,4,2,4,2,5,1,2,3,4,2,5,4,2,4,2,4,1,2,5,1,5,1,5,1,5,4,5,5,30,37,27,30,23,"Africa"
4,13,30,2,2,1,1,"ZW",2,3,2,3,3,3,3,1,1,5,5,3,5,2,4,4,4,2,3,3,4,4,1,4,2,4,1,4,4,4,4,1,5,1,4,5,5,2,4,4,3,3,5,3,4,1,4,3,5,3,32,34,26,35,35,"Africa"
5,13,19,2,1,1,1,"EG",1,2,1,4,1,5,3,3,4,2,5,2,3,1,3,5,5,4,4,3,3,3,2,4,1,5,3,3,5,3,3,1,5,4,3,5,4,3,5,5,2,3,5,3,3,1,5,5,3,4,32,34,26,38,35,"Africa"
6,3,38,1,2,1,1,"ZA",2,3,3,3,3,2,1,3,3,5,4,2,5,2,4,4,5,3,5,4,1,5,4,4,2,5,1,5,5,5,3,5,3,3,3,4,3,1,3,4,5,1,5,1,5,1,5,5,5,5,37,38,28,32,38,"Africa"
7,6,35,2,1,1,1,"EG",1,5,1,5,1,5,1,5,2,5,5,2,5,5,5,5,4,4,5,5,4,1,1,5,5,5,5,3,5,2,4,2,1,5,5,4,5,3,1,4,1,4,4,4,5,5,3,2,5,5,36,38,31,34,45,"Africa"
8,3,20,1,1,1,1,"ZA",3,3,3,3,4,2,4,3,4,5,3,5,2,3,5,3,2,2,4,2,1,4,1,4,2,4,2,4,4,3,2,4,2,4,2,1,4,4,2,2,4,2,5,2,4,1,3,4,4,5,29,34,34,27,31,"Africa"
9,12,30,2,1,1,2,"ZA",4,2,5,2,5,2,5,3,5,2,1,5,3,5,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,5,1,5,1,5,2,3,1,5,5,5,1,5,1,5,1,5,2,5,5,34,35,35,33,20,"Africa"
10,6,16,1,2,1,1,"NG",1,5,1,2,5,5,1,1,5,5,3,1,5,1,1,1,5,3,5,5,5,5,1,5,1,5,1,5,5,5,5,1,5,1,1,1,5,3,5,5,5,3,5,1,5,1,5,1,5,5,38,36,31,32,30,"Africa"
11,6,22,2,2,1,1,"MA",4,4,4,2,4,5,5,3,5,3,2,3,2,3,2,2,3,1,3,1,2,2,1,3,3,2,1,1,3,4,3,4,4,1,4,4,4,1,3,5,4,1,5,1,5,1,5,1,3,5,22,31,39,33,22,"Africa"
12,13,15,1,2,3,1,"KE",1,5,2,5,2,5,1,4,2,5,3,2,4,3,3,4,3,3,5,3,3,3,2,4,3,3,3,3,3,2,3,1,3,3,3,3,4,2,3,3,4,2,5,3,4,2,5,4,5,4,29,38,32,28,33,"Africa"
13,13,32,2,2,1,2,"UG",1,4,3,4,2,3,1,3,1,5,4,3,4,3,4,3,4,5,5,4,1,5,1,5,1,5,1,5,5,4,4,1,5,1,4,1,5,4,5,5,5,1,5,3,5,1,5,4,5,5,33,39,27,35,39,"Africa"
14,12,22,1,2,1,1,"GH",3,1,5,1,4,1,3,4,4,4,4,2,4,2,3,1,1,1,1,1,1,5,1,5,1,5,1,5,5,1,4,1,4,1,3,3,3,1,1,4,4,1,5,1,4,1,3,1,4,4,30,28,30,25,20,"Africa"
15,12,40,2,2,1,1,"NG",1,2,5,1,5,1,1,2,5,2,2,4,4,4,1,4,1,1,4,1,1,4,1,5,1,5,1,5,4,5,4,4,4,1,2,4,2,1,4,4,4,2,5,2,5,1,5,1,4,4,32,33,25,30,26,"Africa"
16,3,45,2,2,1,5,"ZA",3,2,5,2,5,1,4,1,5,5,2,4,4,2,1,1,1,1,1,1,2,5,1,5,1,4,1,5,5,3,4,1,4,1,5,1,5,1,5,5,3,1,4,1,5,1,5,3,5,4,32,32,33,32,18,"Africa"
17,12,28,1,2,1,1,"NG",1,3,4,3,2,2,1,5,1,3,3,3,4,2,5,4,4,4,4,3,5,4,1,5,1,5,1,5,5,4,5,1,5,1,5,5,5,1,4,5,5,4,5,3,4,5,4,4,5,4,36,43,25,37,36,"Africa"
18,12,35,1,1,1,1,"ZA",1,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,5,1,5,5,5,1,5,1,5,5,5,1,3,3,5,1,5,1,5,5,34,34,46,38,10,"Africa"
19,13,16,2,2,1,5,"GH",1,1,5,4,5,1,4,4,5,4,1,5,1,1,1,1,3,1,4,1,5,5,1,5,1,5,1,5,5,5,5,1,5,1,5,1,5,1,3,5,5,1,5,2,5,1,5,2,4,5,38,35,34,32,19,"Africa"
20,3,31,2,2,1,1,"ZA",3,4,3,2,1,4,1,3,3,5,4,3,4,2,4,4,5,4,5,2,3,3,3,3,4,4,4,2,3,3,2,4,5,4,2,4,4,2,2,4,3,1,5,1,5,1,5,2,5,4,32,32,29,33,37,"Africa"
21,13,45,2,2,1,1,"ZA",4,1,3,3,5,1,1,3,2,5,2,5,5,4,3,5,3,3,5,3,3,3,4,5,5,5,3,3,5,3,5,3,5,2,3,3,5,3,3,2,4,2,5,3,5,1,3,3,5,4,39,35,28,34,38,"Africa"
22,12,25,1,2,1,1,"NG",5,2,5,1,5,1,5,2,5,1,1,3,2,4,2,1,4,1,2,4,1,4,1,5,1,5,1,5,5,5,4,1,5,1,5,1,5,1,5,5,5,2,5,1,5,1,5,4,4,5,33,37,32,33,24,"Africa"
23,12,26,2,1,1,1,"KE",1,1,5,4,5,1,1,5,5,3,4,4,5,1,5,5,3,2,4,1,5,4,1,4,1,5,1,1,5,5,2,2,5,1,1,1,5,3,2,4,1,1,4,1,4,1,5,1,1,5,32,24,31,26,34,"Africa"
24,1,23,2,1,1,2,"UG",3,4,1,1,1,4,1,2,5,5,2,1,5,3,5,5,5,1,4,2,2,2,1,2,5,5,1,3,5,4,3,1,5,1,4,2,5,1,5,4,1,1,4,1,5,1,5,1,4,5,30,28,27,31,33,"Africa"
25,5,18,2,1,2,1,"EG",1,2,3,3,3,1,1,4,2,5,5,4,5,1,4,4,5,2,4,5,1,3,2,5,1,5,1,5,5,5,4,5,5,5,2,1,2,3,1,5,5,1,5,1,3,1,5,5,5,5,33,36,25,33,39,"Africa"
26,3,28,2,2,1,1,"ZA",3,2,4,2,2,2,3,2,4,4,2,4,3,2,2,2,2,2,2,2,1,5,2,5,1,4,2,4,4,5,4,4,4,2,2,3,4,2,2,4,4,2,4,2,4,2,5,4,5,4,33,36,28,31,23,"Africa"
27,12,35,1,1,1,1,"ZA",1,5,5,5,5,5,1,1,5,5,1,1,2,1,1,1,1,1,1,1,5,5,1,5,1,5,1,5,5,5,5,2,5,5,5,1,5,1,5,5,5,1,3,1,5,1,5,1,5,5,38,32,38,39,11,"Africa"
28,5,23,1,2,1,1,"KE",3,5,3,3,2,5,1,5,1,5,2,3,5,3,1,2,2,2,1,3,1,3,2,3,4,5,2,5,2,5,3,2,2,2,4,4,3,3,3,4,2,2,4,2,4,1,3,1,5,3,32,27,33,30,24,"Africa"
29,3,28,1,2,1,2,"ZA",4,3,5,2,5,2,5,4,4,2,1,5,1,5,3,1,1,1,2,1,2,5,1,4,2,2,2,3,3,5,3,2,3,2,2,3,3,3,2,3,3,1,4,1,5,1,5,3,5,5,29,33,36,26,21,"Africa"
30,1,20,NA,1,1,1,"ZA",3,3,4,2,4,2,4,2,4,4,2,5,1,3,4,1,3,2,4,2,3,4,2,3,3,3,2,3,2,4,3,2,4,1,1,2,4,4,3,3,4,2,4,2,5,2,5,4,3,4,29,35,32,27,27,"Africa"
31,13,33,2,2,1,1,"ZA",4,1,5,4,5,1,5,2,2,1,4,1,5,2,5,5,5,5,5,5,1,5,2,5,1,2,1,5,5,5,1,5,1,4,1,5,1,4,1,1,4,1,5,2,5,1,5,5,1,5,32,34,30,24,42,"Africa"
32,1,18,2,2,1,1,"GH",1,2,2,4,3,4,1,4,1,4,2,3,3,1,3,4,4,4,4,1,1,4,1,4,2,2,3,3,4,4,2,4,3,1,2,4,2,2,3,3,3,1,3,4,3,1,4,2,2,3,28,26,26,26,29,"Africa"
33,13,30,1,2,1,1,"NG",1,2,4,5,5,2,5,5,1,4,2,3,5,2,4,1,5,5,1,3,1,4,1,5,2,5,1,5,5,5,2,5,5,3,5,3,5,1,5,5,3,3,5,4,5,1,5,5,3,5,34,39,34,39,31,"Africa"
34,5,20,1,2,1,2,"ZA",1,3,5,3,5,3,4,5,1,4,5,3,5,4,2,4,2,3,3,2,1,5,1,5,1,5,1,5,5,3,4,2,4,1,3,5,4,1,3,4,3,2,5,1,4,2,4,1,4,3,32,29,34,31,33,"Africa"
35,13,22,1,2,1,1,"KE",1,5,2,2,2,5,1,5,1,5,3,2,5,1,4,1,4,3,3,4,2,3,1,1,3,5,4,3,4,3,3,1,4,1,4,1,5,3,3,4,2,3,4,2,3,3,3,2,4,3,29,29,29,29,30,"Africa"
36,13,25,1,2,1,1,"KE",3,3,5,2,5,2,5,4,3,4,3,4,1,4,2,1,3,1,2,2,2,4,1,5,1,5,1,4,5,5,2,4,5,1,3,2,5,1,5,3,3,2,5,2,4,1,5,1,5,4,33,32,36,31,23,"Africa"
37,6,39,2,2,1,2,"ZA",3,2,3,3,3,2,3,2,5,3,4,1,4,1,4,5,4,3,5,5,2,3,3,3,3,5,2,5,3,3,4,4,4,1,3,1,3,1,3,5,4,3,5,3,3,1,5,4,5,3,32,36,29,29,36,"Africa"
38,12,37,1,2,3,1,"KE",4,2,4,2,3,2,2,4,2,4,2,4,4,4,2,2,2,2,3,2,2,5,2,4,2,3,2,4,4,4,3,2,5,4,3,3,4,3,3,4,4,3,4,3,4,2,3,3,4,3,32,33,29,34,27,"Africa"
39,3,54,1,2,1,1,"ZA",1,5,2,5,4,3,3,5,1,3,4,4,5,2,2,1,2,1,3,4,5,5,3,5,1,4,1,4,5,4,5,5,5,2,1,4,3,2,4,4,3,2,4,1,5,2,3,3,5,5,37,33,32,35,28,"Africa"
40,5,31,2,2,1,1,"EG",3,3,5,3,5,4,4,1,1,3,3,3,4,4,4,3,2,3,1,4,3,3,3,3,4,3,2,3,5,3,2,3,3,4,4,1,1,3,5,3,3,3,2,3,4,1,5,3,3,3,32,30,32,29,31,"Africa"
41,13,25,1,1,2,2,"ZA",1,5,5,3,5,3,3,5,1,5,1,5,1,3,1,2,1,2,1,2,1,1,1,2,2,2,1,3,3,5,5,1,5,1,5,1,3,3,5,4,1,1,4,1,5,1,5,3,3,5,21,29,36,33,19,"Africa"
42,5,20,2,1,1,5,"EG",2,3,3,4,2,4,2,3,4,5,2,2,4,3,4,4,4,4,4,3,2,3,1,4,2,5,2,4,4,4,3,3,3,2,3,2,3,2,2,3,4,2,4,2,3,2,4,3,3,3,31,30,32,26,34,"Africa"
43,5,16,2,2,1,1,"EG",5,1,5,5,3,2,5,3,3,1,2,5,5,3,3,3,5,5,5,3,2,5,4,5,3,4,1,3,5,5,2,2,4,5,2,1,3,3,3,3,4,3,5,1,3,2,5,5,5,4,37,37,33,28,39,"Africa"
44,6,21,2,2,1,1,"EG",3,1,3,2,4,3,3,3,4,5,5,2,5,5,5,5,5,5,5,5,4,4,4,2,5,2,4,2,2,5,2,5,5,5,2,5,1,4,2,3,3,1,5,1,5,1,5,4,5,5,34,35,31,34,47,"Africa"
45,13,28,2,2,1,1,"KE",3,4,5,3,5,2,4,3,4,4,5,4,5,1,4,4,4,4,4,4,4,4,1,5,1,4,2,4,4,5,4,3,5,1,4,1,5,1,4,3,4,3,5,4,4,1,5,1,5,5,34,37,37,31,39,"Africa"
46,3,46,2,2,1,5,"ZA",4,3,5,2,5,1,5,3,4,4,5,5,4,4,5,2,1,2,4,1,2,4,1,4,2,5,1,4,3,5,1,5,5,2,1,5,3,4,2,5,5,1,4,1,3,1,5,5,5,4,31,34,36,33,33,"Africa"
47,13,19,2,2,1,2,"KE",4,2,3,4,4,1,3,5,1,2,3,2,4,3,4,4,2,2,4,2,1,5,4,4,1,3,2,4,4,4,3,4,4,4,1,2,4,5,3,4,2,4,4,4,3,2,3,2,4,3,32,31,29,34,30,"Africa"
48,5,19,2,2,1,1,"EG",1,5,2,4,1,2,2,5,3,5,2,3,5,5,3,3,1,1,3,3,3,2,3,2,4,5,2,3,5,5,5,1,4,1,5,2,5,3,5,5,4,2,3,3,5,4,5,3,3,5,34,37,30,36,29,"Africa"
49,4,21,1,2,1,1,"ZA",5,2,4,2,5,2,5,2,4,2,2,3,2,3,3,3,3,1,3,3,1,4,2,3,5,5,2,4,5,4,3,2,5,2,4,2,5,1,2,3,4,1,5,1,5,1,4,3,4,5,35,33,33,29,26,"Africa"
50,13,24,1,2,1,1,"KE",3,5,3,4,4,4,3,5,1,4,4,3,5,3,5,5,4,4,3,3,1,3,2,5,1,5,1,5,5,5,3,4,5,4,3,2,5,4,4,4,3,3,4,3,5,2,5,3,4,4,33,36,36,38,39,"Africa"
51,13,42,1,2,1,1,"ZA",1,3,1,3,1,4,1,2,3,5,5,1,5,1,5,5,1,5,5,5,4,2,3,3,5,3,3,2,3,2,1,4,4,2,3,4,3,3,2,2,3,3,4,2,4,1,4,1,5,5,30,32,24,28,38,"Africa"
52,3,41,2,1,1,1,"ZA",1,4,3,2,1,4,1,2,5,5,5,2,5,2,5,4,5,5,4,5,2,4,2,4,3,3,4,1,4,2,4,2,4,3,3,2,4,3,3,3,5,4,5,1,5,1,4,5,5,5,29,40,28,31,42,"Africa"
53,13,36,2,1,1,1,"ZA",3,3,3,3,5,1,3,3,3,3,1,4,3,4,1,3,1,1,1,1,1,5,1,5,1,5,1,5,5,5,2,1,5,1,4,1,5,3,5,5,3,1,5,1,5,1,5,3,5,5,34,34,30,32,20,"Africa"
54,12,25,2,1,1,1,"GH",4,2,2,2,2,3,3,3,2,2,1,2,3,3,2,3,3,3,2,2,2,2,2,2,2,3,3,3,2,2,3,1,3,2,2,2,3,3,2,2,3,2,2,3,3,3,3,3,2,2,23,26,25,23,24,"Africa"
55,12,35,1,1,1,1,"ZA",1,5,4,5,5,1,1,5,1,5,1,2,2,1,1,1,1,1,1,1,1,5,1,5,1,3,1,1,5,5,3,2,5,1,5,1,5,1,5,5,3,2,2,1,5,1,5,1,5,5,28,30,33,33,12,"Africa"
56,6,23,2,1,1,2,"EG",1,5,2,5,3,5,1,5,1,5,5,1,5,5,5,4,5,5,5,4,1,2,3,5,2,3,3,5,4,3,1,3,5,5,1,1,5,3,1,3,4,3,4,3,3,1,4,3,5,4,31,34,33,28,44,"Africa"
57,13,19,1,2,1,1,"UG",1,3,1,4,1,3,1,5,1,5,1,5,3,1,2,1,2,2,5,2,5,1,1,4,3,2,5,4,2,5,5,2,5,3,4,2,4,3,1,4,3,1,1,1,4,1,5,1,5,5,32,27,25,33,24,"Africa"
58,13,17,1,2,1,2,"ZA",2,1,4,2,4,2,3,3,2,4,5,2,5,1,3,5,5,5,5,5,2,5,3,3,2,3,3,3,3,5,2,3,5,1,3,3,3,1,5,4,5,2,5,1,4,1,5,5,5,5,32,38,27,30,41,"Africa"
59,13,24,1,2,1,1,"KE",4,4,2,3,4,2,2,2,1,5,2,5,4,2,5,5,5,5,5,3,1,5,4,5,1,5,3,4,5,4,2,5,4,5,2,1,4,5,4,5,4,2,5,2,5,1,4,1,5,2,37,31,29,37,41,"Africa"
60,5,33,2,1,1,1,"EG",3,2,4,3,4,2,2,2,3,4,2,3,4,2,2,4,4,3,2,3,2,4,2,4,2,4,3,3,4,4,4,3,4,4,3,4,4,2,4,4,5,2,3,2,4,2,4,2,4,4,32,32,29,36,29,"Africa"
61,5,19,2,2,1,1,"EG",1,1,1,5,1,5,1,5,1,5,5,1,5,3,5,5,5,5,5,5,5,1,1,5,4,5,1,2,5,5,1,5,5,3,5,1,5,4,1,1,5,5,5,5,5,1,5,5,5,5,34,46,26,31,44,"Africa"
62,3,46,1,2,1,1,"ZA",1,2,4,3,4,2,4,5,2,4,4,2,4,3,4,4,2,1,4,1,1,4,3,4,2,4,2,3,5,3,3,2,4,3,1,5,2,2,1,5,4,1,4,2,3,2,5,4,4,4,31,33,31,28,29,"Africa"
63,13,24,1,1,2,5,"KE",2,3,3,3,4,2,1,3,3,4,3,3,3,2,4,3,4,3,4,2,2,3,2,4,2,2,4,3,3,2,4,2,5,1,3,2,5,1,4,4,4,1,5,1,5,1,5,2,5,5,27,34,28,31,31,"Africa"
64,13,21,1,2,1,1,"ZA",2,2,4,2,5,1,4,5,2,4,3,4,3,1,2,2,2,1,2,4,1,5,2,4,1,4,1,3,3,3,2,4,5,2,2,4,5,3,2,4,4,1,5,1,5,1,5,3,4,5,27,34,31,33,24,"Africa"
65,13,26,2,2,1,1,"UG",5,5,2,5,1,5,1,5,1,5,1,1,5,3,2,1,5,4,1,1,1,2,1,5,1,5,1,5,5,5,5,3,5,1,5,1,5,1,5,5,3,1,5,1,5,1,5,4,5,5,31,35,35,36,24,"Africa"
66,13,46,1,2,1,1,"ZA",2,2,4,4,4,4,2,5,1,3,4,2,5,1,4,5,3,3,4,2,1,5,2,5,2,5,1,4,1,4,2,5,3,5,2,5,4,3,3,4,4,4,5,2,4,5,4,2,4,5,30,39,31,36,33,"Africa"
67,NA,22,2,2,1,5,"ZA",3,1,5,3,5,1,5,3,4,3,3,3,5,3,4,4,5,2,4,2,1,4,1,5,1,5,1,5,5,5,3,3,4,3,2,5,4,2,5,3,2,3,5,2,5,1,5,1,5,5,33,34,33,34,35,"Africa"
68,12,22,2,2,1,1,"NG",2,4,3,4,2,3,2,5,3,2,3,5,5,4,1,1,2,2,4,3,1,5,1,5,1,4,1,4,4,4,4,4,5,1,2,4,4,1,3,4,4,2,5,1,4,2,5,1,4,4,30,32,30,32,30,"Africa"
69,12,25,2,2,1,1,"NG",5,3,5,3,5,2,4,4,4,2,2,2,3,3,4,1,1,1,1,4,1,4,1,5,1,3,1,3,4,5,4,1,5,1,4,1,3,1,5,5,5,2,4,2,5,1,5,3,4,4,28,35,37,30,22,"Africa"
70,12,29,1,2,1,1,"NG",5,2,5,2,5,1,3,3,5,4,4,4,5,2,3,4,4,3,3,3,1,5,1,5,1,4,2,4,4,5,5,1,5,1,4,4,4,1,4,3,5,1,5,2,5,1,5,2,4,4,32,34,35,32,35,"Africa"
71,3,19,1,1,2,1,"ZA",4,2,4,2,5,2,5,3,4,3,4,4,4,2,4,3,4,3,4,4,2,3,4,5,2,5,2,4,4,4,4,2,4,2,3,3,5,3,4,3,5,2,5,2,4,2,4,4,4,3,35,35,34,33,36,"Africa"
72,12,24,1,2,1,1,"NG",2,4,3,3,4,2,3,3,3,5,2,4,3,4,2,2,2,1,2,2,2,5,1,4,2,4,2,3,4,4,4,2,3,2,2,2,4,3,4,4,5,2,2,2,3,3,3,2,5,4,31,31,32,30,24,"Africa"
73,12,18,2,2,2,5,"GH",3,3,5,3,4,4,4,3,2,3,2,5,2,2,1,1,4,1,1,4,5,5,1,5,1,5,1,5,5,3,4,1,4,2,3,2,1,3,4,5,3,3,5,2,4,2,2,3,4,4,36,32,34,29,23,"Africa"
74,12,21,2,1,1,1,"EG",1,3,1,5,1,5,1,5,1,5,4,1,5,5,5,5,5,5,5,5,5,5,1,5,3,4,4,5,1,1,4,1,5,5,1,1,5,5,1,1,1,2,5,5,1,3,4,1,5,5,34,32,28,29,45,"Africa"
75,13,47,2,1,1,1,"ZA",5,1,4,2,5,2,5,2,4,2,4,4,5,2,2,2,4,2,2,4,1,5,2,5,2,4,1,4,4,5,2,5,5,2,4,5,2,2,2,3,2,2,4,2,2,1,2,2,4,5,33,26,32,32,31,"Africa"
76,13,41,1,2,1,1,"BW",1,1,2,4,5,1,1,3,1,5,3,1,4,4,1,2,1,1,2,1,3,2,1,5,1,4,1,4,5,3,1,1,2,1,4,5,3,1,3,5,2,1,1,4,3,2,2,1,1,2,29,19,24,26,20,"Africa"
77,6,23,2,1,1,1,"ZA",2,3,3,3,3,3,1,3,4,4,3,4,4,5,1,3,1,1,4,1,2,4,2,4,2,4,2,4,3,3,5,3,4,1,2,2,5,3,5,5,4,4,3,4,4,3,5,3,5,4,30,39,29,35,27,"Africa"
78,3,41,2,2,1,1,"MA",3,3,4,2,4,1,3,2,4,2,3,1,5,1,2,4,5,5,4,4,2,4,3,4,2,3,2,3,4,3,2,5,2,5,3,2,4,3,4,3,4,1,3,2,3,3,5,4,5,3,30,33,28,33,34,"Africa"
79,3,38,1,1,1,1,"ZA",2,3,5,3,4,1,4,4,3,5,1,5,4,4,3,5,2,2,2,3,1,5,2,5,2,5,2,3,5,5,2,3,3,2,1,1,2,3,2,2,5,3,3,2,3,2,5,4,5,2,35,34,34,21,31,"Africa"
80,3,37,1,1,1,1,"ZA",4,2,5,4,5,2,5,2,5,2,3,5,5,3,3,4,2,1,4,3,2,5,3,4,2,5,1,4,4,4,4,1,5,2,3,1,5,2,4,4,5,1,5,2,4,2,5,5,5,4,34,38,36,31,33,"Africa"
81,13,27,2,2,1,1,"KE",1,4,4,3,3,2,2,3,4,5,4,4,5,4,4,4,5,4,4,3,1,3,2,4,4,4,3,4,4,3,3,2,5,2,3,1,5,3,5,3,1,1,1,2,3,1,5,3,4,3,32,24,31,32,41,"Africa"
